state,county,key,url,source,status,kind,finalUrl
GA,Dougherty,GA-Dougherty,https://www.qpublic.net/ga/dougherty/,Base,403,gated,https://www.qpublic.net/ga/dougherty/
GA,Duluth City,GA-DuluthCity,https://duluthga.municipalonlinepayments.com/duluthga/tax/search,Search,200,ok,https://duluthga.municipalonlinepayments.com/duluthga/tax/search
GA,Elbert,GA-Elbert,https://d1ebsyxxbc7tep.cloudfront.net/,Base,200,ok,https://d1ebsyxxbc7tep.cloudfront.net/
GA,Emanuel,GA-Emanuel,https://emanuelproperty.assurancegov.com/Property/Search,Search,200,ok,https://emanuelproperty.assurancegov.com/Property/Search
GA,Fayette,GA-Fayette,http://www.fayettecountytaxcomm.com/,Base,200,ok,https://www.fayettecountypay.com/
GA,Folkston,GA-Folkston,https://www.qpublic.net/ga/folkston/,Base,403,gated,https://www.qpublic.net/ga/folkston/
GA,Franklin,GA-Franklin,http://taxes.franklincountyga.com/TaxSearch/,Base,403,gated,https://taxes.franklincountyga.com/TaxSearch/
GA,Fulton,GA-Fulton,https://fultoncountytaxes.org/propertytax/search,Search,403,gated,https://fultoncountytaxes.org/propertytax/search
GA,Fulton Cities,GA-FultonCities,https://fultoncountytaxes.org/propertytax/search,Search,403,gated,https://fultoncountytaxes.org/propertytax/search
GA,Fulton Solid Waste,GA-FultonSolidWaste,https://fultoncountytaxes.org/propertytax/search,Search,403,gated,https://fultoncountytaxes.org/propertytax/search
GA,Gilmer,GA-Gilmer,https://www.qpublic.net/ga/gilmer/,Base,403,gated,https://www.qpublic.net/ga/gilmer/
GA,Gordon,GA-Gordon,https://www.qpublic.net/ga/gordon/,Base,403,gated,https://www.qpublic.net/ga/gordon/
GA,Grady,GA-Grady,https://qpublic.schneidercorp.com/Application.aspx?AppID=1065&LayerID=25364&PageTypeID=2&PageID=10318,Search,403,gated,https://qpublic.schneidercorp.com/Application.aspx?AppID=1065&LayerID=25364&PageTypeID=2&PageID=10318
GA,Gwinnett,GA-Gwinnett,https://www.gwinnetttaxcommissioner.com/property-tax/view-pay-your-taxes,Search,200,ok,https://www.gwinnetttaxcommissioner.com/property-tax/view-pay-your-taxes?p_p_id=gov_gc_tco_portal_user_payment_PaymentApplicationPortlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_gov_gc_tco_portal_user_payment_PaymentApplicationPortlet_mvcRenderCommandName=%2Fcaptcha
GA,Haralson,GA-Haralson,https://www.qpublic.net/ga/haralson/,Base,403,gated,https://www.qpublic.net/ga/haralson/
GA,Heard,GA-Heard,https://www.qpublic.net/ga/heard/,Base,403,gated,https://www.qpublic.net/ga/heard/
GA,Houston,GA-Houston,https://www.qpublic.net/ga/houston/,Base,403,gated,https://www.qpublic.net/ga/houston/
GA,Jones,GA-Jones,https://www.qpublic.net/ga/jones/,Base,403,gated,https://www.qpublic.net/ga/jones/
GA,Kennesaw City,GA-KennesawCity,https://www.municipalonlinepayments.com/,Base,200,ok,https://www.municipalonlinepayments.com/
GA,Lamar,GA-Lamar,https://www.qpublic.net/ga/lamar/,Base,403,gated,https://www.qpublic.net/ga/lamar/
GA,Laurens,GA-Laurens,https://www.qpublic.net/ga/laurens/,Base,403,gated,https://www.qpublic.net/ga/laurens/
GA,Lee,GA-Lee,https://www.qpublic.net/ga/lee/,Base,403,gated,https://www.qpublic.net/ga/lee/
GA,Long,GA-Long,https://www.longcountytax.com/taxes.html#/WildfireSearch,Search,200,ok,https://www.longcountytax.com/taxes.html#/WildfireSearch
GA,Lumpkin,GA-Lumpkin,https://www.lumpkincountytax.com/,Base,200,ok,https://www.lumpkincountytax.com/
GA,Madison,GA-Madison,https://www.qpublic.net/ga/madison/,Base,403,gated,https://www.qpublic.net/ga/madison/
GA,Mc Intosh,GA-McIntosh,https://www.qpublic.net/ga/mc-intosh/,Base,403,gated,https://www.qpublic.net/ga/mc-intosh/
GA,Milton City,GA-MiltonCity,https://www.municipalonlinepayments.com/,Base,200,ok,https://www.municipalonlinepayments.com/
GA,Monroe,GA-Monroe,https://www.qpublic.net/ga/monroe/,Base,403,gated,https://www.qpublic.net/ga/monroe/
GA,Morgan,GA-Morgan,https://www.qpublic.net/ga/morgan/,Base,403,gated,https://www.qpublic.net/ga/morgan/
GA,Paulding,GA-Paulding,https://www.qpublic.net/ga/paulding/,Base,403,gated,https://www.qpublic.net/ga/paulding/
GA,Peach,GA-Peach,http://www.peachcountytax.com/,Base,200,ok,https://www.peachcountytax.com/
GA,Pickens,GA-Pickens,https://pickensproperty.assurancegov.com/Property/Search,Search,200,ok,https://pickensproperty.assurancegov.com/Property/Search
GA,Pierce,GA-Pierce,https://www.qpublic.net/ga/pierce/,Base,403,gated,https://www.qpublic.net/ga/pierce/
GA,Pike,GA-Pike,https://www.qpublic.net/ga/pike/,Base,403,gated,https://www.qpublic.net/ga/pike/
GA,Powder Springs City,GA-PowderSpringsCity,https://wipp.edmundsassoc.com/Wipp/,Base,200,ok,https://wipp.edmundsassoc.com/Wipp/
GA,Pulaski,GA-Pulaski,https://pulaskicountyga.governmentwindow.com/tax.html,Search,403,gated,https://pulaskicountyga.governmentwindow.com/tax.html
GA,Putnam,GA-Putnam,https://www.qpublic.net/ga/putnam/,Base,403,gated,https://www.qpublic.net/ga/putnam/
GA,Riverdale City,GA-RiverdaleCity,https://www.qpublic.net/ga/riverdale/,Base,403,gated,https://www.qpublic.net/ga/riverdale/
GA,Savannah City,GA-SavannahCity,http://revenue.savannahga.gov/revwebpay/WebPortal/WEB_PT_MAIN.aspx?command=REPORTPARAMETERSTYLE&style=&group=RE,Search,200,ok,http://revenue.savannahga.gov/revwebpay/(S(s4yt0a35l14istuhllg5fygh))/WebPortal/Web_PT_Main.aspx?Command=DEFAULT
GA,Smyrna,GA-Smyrna,https://www.qpublic.net/ga/smyrna/,Base,403,gated,https://www.qpublic.net/ga/smyrna/
GA,Spaulding,GA-Spaulding,http://www.spaldingcountytax.com/,Base,403,gated,https://spaldingcountyga.governmentwindow.com./
GA,Sumter,GA-Sumter,http://www.sumtercountygatax.com/,Base,200,ok,https://www.sumtercountygatax.com/
GA,Thomas,GA-Thomas,https://thomascountyga.governmentwindow.com/tax.html,Search,403,gated,https://thomascountyga.governmentwindow.com/tax.html
GA,Tift,GA-Tift,https://www.qpublic.net/ga/tift/,Base,403,gated,https://www.qpublic.net/ga/tift/
GA,Toccoa City,GA-ToccoaCity,https://www.invoicecloud.com/portal/(S(xkepqelrtghf3prgwu1eiiwj))/2/,Base,403,gated,https://www.invoicecloud.com/portal/(S(xkepqelrtghf3prgwu1eiiwj))/2/
GA,Troup,GA-Troup,https://pay.troupcountytax.com/,Search,200,ok,https://pay.troupcountytax.com/
GA,Union City,GA-UnionCity,https://unioncityga.governmentwindow.com/,Base,403,gated,https://unioncityga.governmentwindow.com/
GA,Vesta Holdings,GA-VestaHoldings,http://blackbox1.vestaholdings.com/p9/infoaccount/,Base,200,ok,http://blackbox1.vestaholdings.com/p9/infoaccount/
GA,Vidalia,GA-Vidalia,https://www.qpublic.net/ga/vidalia/,Base,403,gated,https://www.qpublic.net/ga/vidalia/
GA,Walker,GA-Walker,https://walkerproperty.assurancegov.com/Property/Search,Search,200,ok,https://walkerproperty.assurancegov.com/Property/Search
GA,Ware,GA-Ware,https://d1ebsyxxbc7tep.cloudfront.net/,Base,200,ok,https://d1ebsyxxbc7tep.cloudfront.net/
GA,Warner Robins City,GA-WarnerRobinsCity,https://wrga.governmentwindow.com/tax.html,Search,403,gated,https://wrga.governmentwindow.com/tax.html
GA,Washington,GA-Washington,https://washingtoncountyga.governmentwindow.com/,Base,403,gated,https://washingtoncountyga.governmentwindow.com/
GA,West Point,GA-WestPoint,https://www.qpublic.net/ga/west-point/,Base,403,gated,https://www.qpublic.net/ga/west-point/
GA,Wilkinson,GA-Wilkinson,https://www.qpublic.net/ga/wilkinson/,Base,403,gated,https://www.qpublic.net/ga/wilkinson/
GA,Woodstock City,GA-WoodstockCity,https://woodstock.surecourt.com/,Base,403,gated,https://woodstock.surecourt.com/
GU,Guam,GU-Guam,https://www.guamtax.com/,Base,200,ok,https://www.guamtax.com/
HI,Honolulu,HI-Honolulu,https://qpublic.schneidercorp.com/Application.aspx?App=HonoluluCountyHI&PageType=Search,Search,403,gated,https://qpublic.schneidercorp.com/Application.aspx?App=HonoluluCountyHI&PageType=Search
IA,Buchanan,IA-Buchanan,https://www.iowataxandtags.org/,Base,200,ok,https://www.iowataxandtags.org/
IA,Clayton,IA-Clayton,https://www.iowataxandtags.org/,Base,200,ok,https://www.iowataxandtags.org/
IA,Clinton,IA-Clinton,https://www.iowataxandtags.org/,Base,200,ok,https://www.iowataxandtags.org/
IA,Dallas,IA-Dallas,https://www.iowataxandtags.org/,Base,200,ok,https://www.iowataxandtags.org/
