state,county,key,primary_search_url,source,active,confidence_base,quality,version
VA,James City,VA-JamesCity,http://property.jamescitycountyva.gov/JamesCity/ParcelViewer/,Base,false,0.78,ok,1
VA,King George,VA-KingGeorge,https://eservices.kinggeorgecountyva.gov/applications/REPublicInquiry/,Base,true,0.78,ok,1
VA,King Queen,VA-KingQueen,https://eservices.kingandqueenco.net/applications/trapps/,Base,true,0.78,ok,1
VA,King William,VA-KingWilliam,https://e-services.kingwilliamcounty.us/applications/REPublicInquiry/,Base,true,0.78,ok,1
VA,Leesburg Town,VA-LeesburgTown,https://leesburg.munisselfservice.com/citizens/RealEstate/,Base,true,0.78,ok,1
VA,Loudoun,VA-Loudoun,http://inter1.loudoun.gov/taxadmin/webpdbs2008/,Base,false,0.78,ok,1
VA,Louisa,VA-Louisa,https://louweb.louisa.org/applications/republicinquiry/,Base,true,0.78,ok,1
VA,Lunenburg,VA-Lunenburg,https://eservices.lunenburgva.org/applications/REpublicInquiry/,Base,true,0.78,ok,1
VA,Lynchburg City,VA-LynchburgCity,https://webapps.lynchburgva.gov/citylink,Search,true,0.92,ok,1
VA,Manassas City,VA-ManassasCity,https://comc2g.manassasva.gov/Click2GovTX/,Base,false,0.78,ok,1
VA,Mathews,VA-Mathews,https://eservices-mathews.com/applications/trapps/,Base,true,0.78,ok,1
VA,Mecklenburg,VA-Mecklenburg,https://meckweb.mecklenburgva.com/applications/REPublicInquiry/,Base,true,0.78,ok,1
VA,Middlesex,VA-Middlesex,https://websrv-vmw.dmz.co.middlesex.va.us/applications/REPublicInquiry/,Base,true,0.78,ok,1
VA,New Kent,VA-NewKent,http://216.54.24.4/applications/REPublicInquiry/,Base,true,0.78,ok,1
VA,Newport News City,VA-NewportNewsCity,https://assessment.nnva.gov/PT/search/,Base,true,0.78,ok,1
VA,Newport News City Storm,VA-NewportNewsCityStorm,https://assessment.nnva.gov/PT/search/,Base,true,0.78,ok,1
VA,Norfolk City,VA-NorfolkCity,https://eservices.norfolk.gov/Taxes/,Base,true,0.78,ok,1
VA,Orange,VA-Orange,https://tax.orangecountyva.gov/applications/trapps/,Base,true,0.78,ok,1
VA,Page,VA-Page,https://eservices.pagecounty.virginia.gov/applications/REPublicInquiry/,Base,true,0.78,ok,1
VA,Petersburg City,VA-PetersburgCity,https://www.petersburg-va.com/applications/REPublicInquiry/webform1.aspx,Search,true,0.92,ok,1
VA,Pittsylvania,VA-Pittsylvania,https://keyweb.pittgov.net/WebPAAS/Parcels/,Base,true,0.78,ok,1
VA,Portsmouth City,VA-PortsmouthCity,http://data.portsmouthva.gov/treasurer/data/realestatereceivsearch.aspx,Search,true,0.92,ok,1
VA,Portsmouth City Storm,VA-PortsmouthCityStorm,http://www.portsmouthva.gov/,Base,true,0.78,ok,1
VA,Powhatan,VA-Powhatan,https://www.powhatanvaonline.org/applications/REpublicInquiry/,Base,false,0.78,ok,1
VA,Prince William,VA-PrinceWilliam,https://tax.pwcgov.org/PortalAccount/ViewParcel/,Base,true,0.78,ok,1
VA,Prince William Storm,VA-PrinceWilliamStorm,https://tax.pwcgov.org/PortalAccount/ViewParcel/,Base,true,0.78,ok,1
VA,Pulaski,VA-Pulaski,https://www.pulaskicountyva.gov/applications/REPublicInquiry/,Base,false,0.78,ok,1
VA,Roanoke,VA-Roanoke,https://csspayments.roanokecountyva.gov/MSS/citizens/RealEstate/,Base,true,0.78,ok,1
VA,Russell,VA-Russell,https://egov.russellcountyva.us/applications/REPublicInquiry/,Base,true,0.78,ok,1
VA,Shenandoah,VA-Shenandoah,https://204.111.80.202/applications/REPublicInquiry/,Base,true,0.78,ok,1
VA,Stafford,VA-Stafford,http://taxpaid.stafford.va.us/,Base,true,0.78,ok,1
VA,Staunton City,VA-StauntonCity,https://services.ci.staunton.va.us/MSS/citizens/RealEstate/,Base,true,0.78,ok,1
VA,Suffolk City,VA-SuffolkCity,https://www.suffolkvatax.us/#/,Base,true,0.78,ok,1
VA,Sussex,VA-Sussex,https://eservices.sussexcountyva.gov/applications/REpublicInquiry/,Base,true,0.78,ok,1
VA,Virginia Beach City,VA-VirginiaBeachCity,http://cvb.manatron.com/Tabs/PropertySearch/,Base,false,0.78,ok,1
VA,Warren,VA-Warren,https://eservices.warrencountyva.net/applications/REPublicInquiry/,Base,true,0.78,ok,1
VA,Westmoreland,VA-Westmoreland,https://eservices.westmoreland-county.org/applications/REPublicInquiry/,Base,true,0.78,ok,1
VA,Williamsburg City,VA-WilliamsburgCity,https://egov.williamsburgva.gov/Real_Property_Public/,Base,false,0.78,ok,1
VA,York,VA-York,https://www.countyofyorkva.org/applications/republicinquiry/,Base,false,0.78,ok,1
WA,Cowlitz,WA-Cowlitz,http://www.cowlitzinfo.net/applications/cowlitzassessorparcelsearch/,Base,false,0.78,ok,1
WA,King,WA-King,http://info.kingcounty.gov/finance/treasury/propertytax/,Base,true,0.78,ok,1
WA,Kitsap,WA-Kitsap,https://psearch.kitsap.gov/pdetails/Default,Search,true,0.92,ok,1
WA,Lewis,WA-Lewis,https://parcels.lewiscountywa.gov/,Search,true,0.92,ok,1
WA,Pierce,WA-Pierce,https://atip.piercecountywa.gov/app/v2/parcelSearch/search,Search,true,0.92,ok,1
WA,Snohomish,WA-Snohomish,https://wa-snohomish.publicaccessnow.com/Treasurer/TaxSearch.aspx,Search,true,0.92,ok,1
WA,Spokane,WA-Spokane,http://cp.spokanecounty.org/SCOUT/propertyinformation/,Base,true,0.78,ok,1
WI,Adams,WI-Adams,http://adamscowi.wgxtreme.com/java/wgxparcel/,Base,true,0.78,ok,1
WI,Appleton City,WI-AppletonCity,http://my.appleton.org/,Base,true,0.78,ok,1
WI,Ashland,WI-Ashland,http://ashlandcowi.wgxtreme.com/java/wgxparcel/,Base,true,0.78,ok,1
WI,Barron,WI-Barron,http://www.co.barron.wi.us/GCSWebPortal/,Base,true,0.78,ok,1
WI,Bayfield,WI-Bayfield,http://novus.bayfieldcounty.org:8081/access/,Base,true,0.78,ok,1
WI,Brown,WI-Brown,https://bclrpp.browncountywi.gov/Search/RealEstate/Search,Search,true,0.92,ok,1
WI,Brown Deer Village,WI-BrownDeerVillage,https://pp-milwaukee-co-wi-fb.app.landnav.com/Search/RealEstate/Search,Search,true,0.92,ok,1
WI,Buffalo,WI-Buffalo,https://landnav-publicportal.buffalocounty.com/Search/RealEstate/Search,Base,true,0.78,ok,1
